#time   deltaF       REWdeltaF
709000  3.313778852  3.198368679
710000  3.281069075  3.194511695
711000  3.252635068  3.191874554
712000  3.229077250  3.190795427
713000  3.197417785  3.188037913
714000  3.172344202  3.186628950
715000  3.143199695  3.183747414
716000  3.119456245  3.180213269
717000  3.093967655  3.174496918
718000  3.064815796  3.170196516
719000  3.087033646  3.171629384
720000  3.113272916  3.173240740
721000  3.142187816  3.175237706
722000  3.170358429  3.178447272
723000  3.198704735  3.180453567
724000  3.227409238  3.184605288
725000  3.252848174  3.186778753
726000  3.281451764  3.191278559
727000  3.307552384  3.194437890
728000  3.334924498  3.197012476
729000  3.361780434  3.199741579
730000  3.389286132  3.203030891
731000  3.414795664  3.204779527
732000  3.407549890  3.203834917
733000  3.379357802  3.201774027
734000  3.348160259  3.199668521
735000  3.316584647  3.197010671
736000  3.283838617  3.194019979
737000  3.258913086  3.192246660
738000  3.230229261  3.189129341
739000  3.199211758  3.185403702
740000  3.167221070  3.181315779
741000  3.137325979  3.178257861
742000  3.111299802  3.175692445
743000  3.119994781  3.176389785
744000  3.145530625  3.178323595
745000  3.168165509  3.181205738
746000  3.169324070  3.181831317
747000  3.196286925  3.185312522
748000  3.223207489  3.187828072
749000  3.250856740  3.191097210
750000  3.276736945  3.192797921
751000  3.303051247  3.195269077
752000  3.328047614  3.196985493
753000  3.352047522  3.198509454
754000  3.378809065  3.201504095
755000  3.399893189  3.203573630
756000  3.373210138  3.200643338
757000  3.343989767  3.197904372
758000  3.314740167  3.194148943
759000  3.283718635  3.191505598
760000  3.257954446  3.190025197
761000  3.232412015  3.187261194
762000  3.204338941  3.184175844
763000  3.180819887  3.181555050
764000  3.153341524  3.178624146
765000  3.126387633  3.176431888
766000  3.096815164  3.173918998
767000  3.090122906  3.173248601
768000  3.115959320  3.174576748
769000  3.142385618  3.176295796
770000  3.167326544  3.178356317
771000  3.192744852  3.179673667
772000  3.216529106  3.181732386
773000  3.206513523  3.181972357
774000  3.233352513  3.185518186
775000  3.259551430  3.186628625
776000  3.285146791  3.189602541
777000  3.309357091  3.191264337
778000  3.334249124  3.193126854
779000  3.359863516  3.194976325
780000  3.383688495  3.196444668
781000  3.383620958  3.196462182
782000  3.356128360  3.193821229
783000  3.333551673  3.191346489
784000  3.306674503  3.188834478
785000  3.282104179  3.187425734
786000  3.301466920  3.189631609
787000  3.317030855  3.191061242
788000  3.290267108  3.188752614
789000  3.265820618  3.187339936
790000  3.241926079  3.185163457
791000  3.217441418  3.182207088
792000  3.193603385  3.180206040
793000  3.164732202  3.177648836
794000  3.137835993  3.174237108
795000  3.111285259  3.171825341
796000  3.117833477  3.173017470
797000  3.110294307  3.172849138
798000  3.084578835  3.169315134
799000  3.062911709  3.167921474
800000  3.054103956  3.166104567
801000  3.077160528  3.167754860
802000  3.102828701  3.169973145
803000  3.126092355  3.173253098
804000  3.150174186  3.175436818
805000  3.175313654  3.178298527
806000  3.200353771  3.180648315
807000  3.223921955  3.183000607
808000  3.248458850  3.185863928
809000  3.272664213  3.187648225
810000  3.298554458  3.190304721
811000  3.281699680  3.189351885
812000  3.254361176  3.187024504
813000  3.228598245  3.185355804
814000  3.201250537  3.180762383
815000  3.208348385  3.181288870
816000  3.232577255  3.183060055
817000  3.257756938  3.185190606
818000  3.284115651  3.188402830
819000  3.307754005  3.189823843
820000  3.331113280  3.191941757
821000  3.322028386  3.190764513
822000  3.295019375  3.188325651
823000  3.294884165  3.188249435
824000  3.318519037  3.190001019
825000  3.340577338  3.191593198
826000  3.365112854  3.194569450
827000  3.389341047  3.197527051
828000  3.411714624  3.200476924
829000  3.386923220  3.199046139
830000  3.363044364  3.196553504
831000  3.339953611  3.194660197
832000  3.315033717  3.191217896
833000  3.314175785  3.191834018
834000  3.338394401  3.194942855
835000  3.358006265  3.195975496
836000  3.381880093  3.197544265
837000  3.405363321  3.199285622
838000  3.428331085  3.201539950
839000  3.450242041  3.203601327
840000  3.474077988  3.205828245
841000  3.451195805  3.203930780
842000  3.423195850  3.201220031
843000  3.398774845  3.199247439
844000  3.373699037  3.196411837
845000  3.351212580  3.194555960
846000  3.327595064  3.192445287
847000  3.298416157  3.189855942
848000  3.274843044  3.188535628
849000  3.251178560  3.186970335
850000  3.238834304  3.185437926
851000  3.262385382  3.186977405
852000  3.259026222  3.187392960
853000  3.275665409  3.189350530
854000  3.298110319  3.191047159
855000  3.321460508  3.193275579
856000  3.344064226  3.195659344
857000  3.367933439  3.197371252
858000  3.390126050  3.199581683
859000  3.413235840  3.202133605
860000  3.422634026  3.203590127
861000  3.399116135  3.201635661
862000  3.375385948  3.199844584
863000  3.352361831  3.197421063
864000  3.332162272  3.194941845
865000  3.356040611  3.197132048
866000  3.379044324  3.200468214
867000  3.401744832  3.202619152
868000  3.424857636  3.205123609
869000  3.447594095  3.207454892
870000  3.467151408  3.209781715
871000  3.488064551  3.211585443
872000  3.511754768  3.214885427
873000  3.533744020  3.216538333
874000  3.554485632  3.219675416
875000  3.576840843  3.222300778
876000  3.598065796  3.223600451
877000  3.618068980  3.226520024
878000  3.617695775  3.226848932
879000  3.593365581  3.225237261
880000  3.580581601  3.224418530
881000  3.600773673  3.226694656
882000  3.621939021  3.229759821
883000  3.644168884  3.231862137
884000  3.664690214  3.233623633
885000  3.685027669  3.234920264
886000  3.706990733  3.237003514
887000  3.728867293  3.239900718
888000  3.749169185  3.241319445
889000  3.771768920  3.243881171
890000  3.792397150  3.245137869
891000  3.812245505  3.247027927
892000  3.831897899  3.249711072
893000  3.852617237  3.251918935
894000  3.873742367  3.253641334
895000  3.894199455  3.255508180
896000  3.915217158  3.256916917
897000  3.935827797  3.259413277
898000  3.957925323  3.261430732
899000  3.978228466  3.262971357
900000  3.999519960  3.266205308
901000  4.019334349  3.267764406
902000  4.039355726  3.269773438
903000  4.059694064  3.271927570
904000  4.080304976  3.274690445
905000  4.101347484  3.276059261
906000  4.123201649  3.279131610
907000  4.143051927  3.281876862
908000  4.161994227  3.284300034
909000  4.182701240  3.285966805
910000  4.202190656  3.287486095
911000  4.198133485  3.287946811
912000  4.173360602  3.287003615
913000  4.149444356  3.285658075
914000  4.124867759  3.285067852
915000  4.103452885  3.284567453
916000  4.090894280  3.283642678
917000  4.111050107  3.285442658
918000  4.130699136  3.287678116
919000  4.150130945  3.289327306
920000  4.169360551  3.290977462
921000  4.188936388  3.293946028
922000  4.208506991  3.295420259
923000  4.207984394  3.296667584
924000  4.228487262  3.298580005
925000  4.248793844  3.300055275
